,uid,variant_number,gender,user_type,active_mins
0,0,0,male,non_reader,3.3076923076923075
1,1,0,male,reader,9.0
2,2,0,male,non_reader,2.4285714285714284
3,3,0,male,non_reader,3.2083333333333335
4,4,0,male,non_reader,1.95
5,5,0,female,non_reader,9.0
6,6,0,female,non_reader,2.0
7,7,0,male,non_reader,3.0
8,9,0,female,non_reader,4.666666666666667
9,10,0,male,non_reader,4.096774193548387
10,11,0,female,non_reader,4.0
11,13,0,male,non_reader,2.8333333333333335
12,14,0,male,non_reader,1.5
13,15,0,male,reader,2.9166666666666665
14,16,0,female,non_reader,3.111111111111111
15,17,0,female,reader,9.0
16,18,0,male,non_reader,1.0
17,19,0,female,reader,6.62962962962963
18,20,0,male,non_reader,2.264705882352941
19,21,0,male,non_reader,1.8333333333333333
20,22,0,male,new_user,2.7142857142857144
21,23,0,female,non_reader,5.8
22,24,0,female,non_reader,3.7142857142857144
23,25,0,male,reader,6.814814814814815
24,26,0,female,non_reader,1.6666666666666667
25,27,0,unknown,non_reader,1.8571428571428572
26,28,0,unknown,contributor,6.888888888888889
27,29,0,male,reader,10.88888888888889
28,30,0,male,contributor,5.2727272727272725
29,31,0,female,non_reader,2.3333333333333335
30,32,0,male,non_reader,3.0
31,33,0,unknown,non_reader,4.125
32,34,0,male,non_reader,4.5
33,36,0,female,reader,6.5625
34,37,0,female,non_reader,3.2857142857142856
35,38,0,male,reader,9.448275862068966
36,39,0,male,reader,3.892857142857143
37,40,0,female,non_reader,1.6
38,41,0,male,non_reader,3.88
39,42,0,female,new_user,1.0
40,43,0,female,non_reader,1.8666666666666667
41,44,0,unknown,non_reader,3.357142857142857
42,45,0,male,non_reader,3.0
43,46,0,male,non_reader,3.0
44,47,0,male,non_reader,5.0
45,48,0,unknown,non_reader,2.625
46,49,0,male,non_reader,1.8571428571428572
47,50,0,male,reader,3.727272727272727
48,51,0,male,non_reader,2.5
49,52,0,unknown,contributor,6.260869565217392
50,53,0,male,non_reader,1.75
51,54,0,female,non_reader,2.2222222222222223
52,55,0,unknown,non_reader,2.0
53,56,0,male,non_reader,4.0
54,57,0,unknown,non_reader,2.0
55,58,0,male,reader,6.465116279069767
56,59,0,male,non_reader,2.3333333333333335
57,60,0,male,non_reader,4.0625
58,61,0,male,non_reader,1.0
59,62,0,male,contributor,5.9655172413793105
60,63,0,female,non_reader,2.0555555555555554
61,64,0,male,non_reader,3.3333333333333335
62,65,0,unknown,reader,6.545454545454546
63,66,0,unknown,non_reader,3.25
64,67,0,unknown,non_reader,2.0
65,68,0,female,non_reader,2.0
66,69,0,male,reader,11.304347826086957
67,70,0,male,non_reader,2.230769230769231
68,71,0,male,non_reader,5.55
69,72,0,male,non_reader,2.923076923076923
70,73,0,male,reader,6.074074074074074
71,74,0,male,non_reader,2.2142857142857144
72,75,0,male,non_reader,3.935483870967742
73,76,0,male,non_reader,3.3333333333333335
74,77,0,female,non_reader,2.6153846153846154
75,79,0,unknown,non_reader,2.0
76,80,0,male,reader,10.0
77,81,0,unknown,new_user,2.1666666666666665
78,82,0,unknown,non_reader,3.25
79,83,0,unknown,non_reader,3.0
80,84,0,female,reader,10.514285714285714
81,85,0,unknown,new_user,16.0
82,86,0,unknown,non_reader,5.375
83,87,0,male,non_reader,2.076923076923077
84,88,0,female,non_reader,5.346153846153846
85,89,0,male,reader,5.944444444444445
86,90,0,female,non_reader,2.2222222222222223
87,91,0,male,non_reader,2.6470588235294117
88,92,0,female,non_reader,2.975
89,93,0,unknown,non_reader,3.176470588235294
90,95,0,female,non_reader,1.5
91,96,0,female,non_reader,2.6315789473684212
92,97,0,male,non_reader,2.0
93,99,0,male,reader,5.777777777777778
94,100,0,male,non_reader,2.2
95,101,0,male,contributor,8.926829268292684
96,102,0,male,non_reader,3.3333333333333335
97,103,0,male,non_reader,5.303571428571429
98,105,0,unknown,non_reader,2.0
99,106,0,male,non_reader,3.0422535211267605
100,107,0,male,non_reader,2.4210526315789473
101,108,0,male,non_reader,2.0
102,109,0,male,non_reader,5.714285714285714
103,110,0,male,non_reader,3.3
104,112,0,male,reader,4.811320754716981
105,113,0,female,non_reader,1.0
106,114,0,male,non_reader,3.25
107,115,0,female,non_reader,3.0
108,116,0,male,non_reader,3.90625
109,117,0,male,non_reader,3.4285714285714284
110,118,0,male,non_reader,1.5384615384615385
111,119,0,male,non_reader,3.9
112,120,0,male,reader,5.7368421052631575
113,121,0,male,non_reader,3.782608695652174
114,122,0,female,non_reader,4.2727272727272725
115,123,0,male,contributor,11.2
116,124,0,unknown,non_reader,2.8095238095238093
117,125,0,male,non_reader,1.5
118,127,0,male,non_reader,6.333333333333333
119,128,0,female,non_reader,3.0
120,129,0,male,non_reader,2.0
121,130,0,male,non_reader,1.75
122,131,0,male,non_reader,2.0
123,132,0,female,new_user,4.142857142857143
124,133,0,unknown,new_user,2.75
125,134,0,female,non_reader,4.857142857142857
126,136,0,unknown,non_reader,1.7142857142857142
127,137,0,female,new_user,3.0
128,138,0,male,non_reader,1.5
129,139,0,male,non_reader,2.4285714285714284
130,140,0,male,non_reader,3.875
131,141,0,male,non_reader,3.28
132,142,0,male,non_reader,5.132075471698113
133,143,0,male,non_reader,7.0
134,144,0,male,reader,5.916666666666667
135,145,0,male,non_reader,4.833333333333333
136,146,0,male,reader,9.266666666666667
137,147,0,male,non_reader,2.25
138,148,0,female,non_reader,2.2
139,149,0,male,reader,12.028571428571428
140,150,0,unknown,reader,8.55
141,151,0,male,reader,8.35483870967742
142,152,0,male,non_reader,3.78125
143,154,0,unknown,non_reader,2.625
144,156,0,male,reader,7.333333333333333
145,157,0,male,non_reader,2.4444444444444446
146,158,0,female,non_reader,2.4
147,159,0,female,non_reader,1.8571428571428572
148,160,0,unknown,non_reader,1.6666666666666667
149,161,0,unknown,non_reader,2.0
150,162,0,male,non_reader,3.9411764705882355
151,163,0,female,non_reader,5.166666666666667
152,164,0,male,non_reader,3.945945945945946
153,165,0,male,non_reader,6.0
154,166,0,female,non_reader,2.6666666666666665
155,167,0,male,non_reader,3.4
156,170,0,unknown,reader,2.142857142857143
157,171,0,female,non_reader,2.0
158,172,0,male,non_reader,1.875
159,173,0,female,non_reader,3.4285714285714284
160,174,0,male,non_reader,6.029411764705882
161,175,0,female,non_reader,4.434782608695652
162,176,0,male,non_reader,4.444444444444445
163,177,0,female,non_reader,5.0
164,178,0,female,non_reader,4.923076923076923
165,179,0,male,non_reader,2.823529411764706
166,180,0,male,non_reader,7.0
167,181,0,unknown,non_reader,2.0
168,182,0,female,reader,9.16326530612245
169,183,0,female,non_reader,3.0
170,184,0,male,non_reader,3.0
171,185,0,male,contributor,9.754098360655737
172,186,0,male,reader,3.6153846153846154
173,187,0,female,non_reader,4.333333333333333
174,188,0,female,non_reader,2.2
175,189,0,unknown,new_user,1.6666666666666667
176,190,0,female,reader,7.757575757575758
177,191,0,male,reader,8.961538461538462
178,192,0,male,non_reader,4.909090909090909
179,193,0,female,non_reader,7.666666666666667
180,194,0,male,non_reader,4.222222222222222
181,195,0,female,non_reader,3.5
182,197,0,unknown,non_reader,5.555555555555555
183,198,0,male,non_reader,3.3333333333333335
184,199,0,male,non_reader,2.0
185,200,0,male,non_reader,4.767857142857143
186,201,0,male,non_reader,2.75
187,202,0,male,non_reader,2.4
188,203,0,female,non_reader,2.5
189,204,0,female,non_reader,3.210526315789474
190,205,0,male,new_user,3.9166666666666665
191,206,0,unknown,non_reader,4.0
192,207,0,male,non_reader,6.550724637681159
193,208,0,male,non_reader,1.3333333333333333
194,209,0,male,reader,6.761904761904762
195,210,0,male,reader,5.842105263157895
196,211,0,female,non_reader,5.0
197,212,0,male,reader,4.837837837837838
198,213,0,female,new_user,1.5
199,214,0,female,reader,4.05
200,215,0,male,non_reader,3.5217391304347827
201,216,0,male,reader,7.142857142857143
202,217,0,female,non_reader,2.5
203,218,0,male,non_reader,1.8181818181818181
204,219,0,female,reader,5.214285714285714
205,220,0,male,non_reader,4.555555555555555
206,221,0,male,non_reader,8.295454545454545
207,222,0,male,non_reader,4.0
208,223,0,male,non_reader,2.727272727272727
209,224,0,male,non_reader,3.25
210,225,0,male,reader,9.25
211,226,0,male,non_reader,5.2105263157894735
212,227,0,male,non_reader,4.703703703703703
213,228,0,unknown,non_reader,2.5714285714285716
214,229,0,male,reader,7.877551020408164
215,231,0,male,non_reader,4.523809523809524
216,232,0,unknown,non_reader,6.361702127659575
217,233,0,male,non_reader,2.142857142857143
218,234,0,female,reader,6.0476190476190474
219,235,0,female,reader,8.571428571428571
220,236,0,male,non_reader,4.769230769230769
221,237,0,male,non_reader,3.4
222,238,0,male,non_reader,2.0
223,239,0,male,non_reader,2.142857142857143
224,240,0,male,new_user,1.0
225,241,0,male,non_reader,3.48
226,242,0,male,non_reader,1.8333333333333333
227,243,0,female,reader,3.6206896551724137
228,245,0,male,non_reader,1.5
229,246,0,female,reader,6.75
230,247,0,male,non_reader,2.6363636363636362
231,248,0,male,reader,12.5
232,250,0,female,non_reader,3.1818181818181817
233,251,0,female,reader,8.038461538461538
234,252,0,unknown,non_reader,4.0
235,253,0,female,reader,9.48076923076923
236,254,0,male,non_reader,5.418181818181818
237,255,0,male,non_reader,3.5
238,256,0,female,non_reader,3.375
239,257,0,male,non_reader,2.0
240,258,0,female,reader,4.636363636363637
241,259,0,female,non_reader,1.0
242,260,0,male,non_reader,5.0
243,262,0,male,reader,3.9473684210526314
244,263,0,male,contributor,9.783783783783784
